sample	env	subject	bodysite	dataset
Hard.palate__763901136	Hard palate	763901136	Hard palate	HMP
Saliva__763901136	Saliva	763901136	Saliva	HMP
Stool__763901136	Stool	763901136	Stool	HMP
Subgingival.plaque__763901136	Subgingival plaque	763901136	Subgingival plaque	HMP
Supragingival.plaque__763901136	Supragingival plaque	763901136	Supragingival plaque	HMP
Tongue.dorsum__763901136	Tongue dorsum	763901136	Tongue dorsum	HMP
Buccal.mucosa__763921366	Buccal mucosa	763921366	Buccal mucosa	HMP
Hard.palate__763921366	Hard palate	763921366	Hard palate	HMP
Saliva__763921366	Saliva	763921366	Saliva	HMP
Stool__763921366	Stool	763921366	Stool	HMP
Subgingival.plaque__763921366	Subgingival plaque	763921366	Subgingival plaque	HMP
Supragingival.plaque__763921366	Supragingival plaque	763921366	Supragingival plaque	HMP
Tongue.dorsum__763921366	Tongue dorsum	763921366	Tongue dorsum	HMP
Buccal.mucosa__763982056	Buccal mucosa	763982056	Buccal mucosa	HMP
Hard.palate__763982056	Hard palate	763982056	Hard palate	HMP
Saliva__763982056	Saliva	763982056	Saliva	HMP
Stool__763982056	Stool	763982056	Stool	HMP
Subgingival.plaque__763982056	Subgingival plaque	763982056	Subgingival plaque	HMP
Supragingival.plaque__763982056	Supragingival plaque	763982056	Supragingival plaque	HMP
Tongue.dorsum__763982056	Tongue dorsum	763982056	Tongue dorsum	HMP
Buccal.mucosa__764002286	Buccal mucosa	764002286	Buccal mucosa	HMP
Hard.palate__764002286	Hard palate	764002286	Hard palate	HMP
Saliva__764002286	Saliva	764002286	Saliva	HMP
Stool__764002286	Stool	764002286	Stool	HMP
Subgingival.plaque__764002286	Subgingival plaque	764002286	Subgingival plaque	HMP
Supragingival.plaque__764002286	Supragingival plaque	764002286	Supragingival plaque	HMP
Tongue.dorsum__764002286	Tongue dorsum	764002286	Tongue dorsum	HMP
Buccal.mucosa__764042746	Buccal mucosa	764042746	Buccal mucosa	HMP
Hard.palate__764042746	Hard palate	764042746	Hard palate	HMP
Stool__764042746	Stool	764042746	Stool	HMP
Subgingival.plaque__764042746	Subgingival plaque	764042746	Subgingival plaque	HMP
Supragingival.plaque__764042746	Supragingival plaque	764042746	Supragingival plaque	HMP
Tongue.dorsum__764042746	Tongue dorsum	764042746	Tongue dorsum	HMP
Buccal.mucosa__764062976	Buccal mucosa	764062976	Buccal mucosa	HMP
Hard.palate__764062976	Hard palate	764062976	Hard palate	HMP
Stool__764062976	Stool	764062976	Stool	HMP
Subgingival.plaque__764062976	Subgingival plaque	764062976	Subgingival plaque	HMP
Supragingival.plaque__764062976	Supragingival plaque	764062976	Supragingival plaque	HMP
Tongue.dorsum__764062976	Tongue dorsum	764062976	Tongue dorsum	HMP
Buccal.mucosa__764143897	Buccal mucosa	764143897	Buccal mucosa	HMP
Hard.palate__764143897	Hard palate	764143897	Hard palate	HMP
Saliva__764143897	Saliva	764143897	Saliva	HMP
Stool__764143897	Stool	764143897	Stool	HMP
Subgingival.plaque__764143897	Subgingival plaque	764143897	Subgingival plaque	HMP
Supragingival.plaque__764143897	Supragingival plaque	764143897	Supragingival plaque	HMP
Tongue.dorsum__764143897	Tongue dorsum	764143897	Tongue dorsum	HMP
Buccal.mucosa__764184357	Buccal mucosa	764184357	Buccal mucosa	HMP
Hard.palate__764184357	Hard palate	764184357	Hard palate	HMP
Saliva__764184357	Saliva	764184357	Saliva	HMP
Stool__764184357	Stool	764184357	Stool	HMP
Subgingival.plaque__764184357	Subgingival plaque	764184357	Subgingival plaque	HMP
Supragingival.plaque__764184357	Supragingival plaque	764184357	Supragingival plaque	HMP
Tongue.dorsum__764184357	Tongue dorsum	764184357	Tongue dorsum	HMP
Buccal.mucosa__764224817	Buccal mucosa	764224817	Buccal mucosa	HMP
Hard.palate__764224817	Hard palate	764224817	Hard palate	HMP
Saliva__764224817	Saliva	764224817	Saliva	HMP
Stool__764224817	Stool	764224817	Stool	HMP
Subgingival.plaque__764224817	Subgingival plaque	764224817	Subgingival plaque	HMP
Supragingival.plaque__764224817	Supragingival plaque	764224817	Supragingival plaque	HMP
Tongue.dorsum__764224817	Tongue dorsum	764224817	Tongue dorsum	HMP
Buccal.mucosa__764245047	Buccal mucosa	764245047	Buccal mucosa	HMP
Hard.palate__764245047	Hard palate	764245047	Hard palate	HMP
Saliva__764245047	Saliva	764245047	Saliva	HMP
Stool__764245047	Stool	764245047	Stool	HMP
Subgingival.plaque__764245047	Subgingival plaque	764245047	Subgingival plaque	HMP
Supragingival.plaque__764245047	Supragingival plaque	764245047	Supragingival plaque	HMP
Tongue.dorsum__764245047	Tongue dorsum	764245047	Tongue dorsum	HMP
Buccal.mucosa__764285508	Buccal mucosa	764285508	Buccal mucosa	HMP
Hard.palate__764285508	Hard palate	764285508	Hard palate	HMP
Saliva__764285508	Saliva	764285508	Saliva	HMP
Stool__764285508	Stool	764285508	Stool	HMP
Subgingival.plaque__764285508	Subgingival plaque	764285508	Subgingival plaque	HMP
Supragingival.plaque__764285508	Supragingival plaque	764285508	Supragingival plaque	HMP
Tongue.dorsum__764285508	Tongue dorsum	764285508	Tongue dorsum	HMP
Buccal.mucosa__764325968	Buccal mucosa	764325968	Buccal mucosa	HMP
Hard.palate__764325968	Hard palate	764325968	Hard palate	HMP
Saliva__764325968	Saliva	764325968	Saliva	HMP
Stool__764325968	Stool	764325968	Stool	HMP
Subgingival.plaque__764325968	Subgingival plaque	764325968	Subgingival plaque	HMP
Supragingival.plaque__764325968	Supragingival plaque	764325968	Supragingival plaque	HMP
Tongue.dorsum__764325968	Tongue dorsum	764325968	Tongue dorsum	HMP
Buccal.mucosa__764346198	Buccal mucosa	764346198	Buccal mucosa	HMP
Hard.palate__764346198	Hard palate	764346198	Hard palate	HMP
Stool__764346198	Stool	764346198	Stool	HMP
Subgingival.plaque__764346198	Subgingival plaque	764346198	Subgingival plaque	HMP
Supragingival.plaque__764346198	Supragingival plaque	764346198	Supragingival plaque	HMP
Tongue.dorsum__764346198	Tongue dorsum	764346198	Tongue dorsum	HMP
Buccal.mucosa__764366428	Buccal mucosa	764366428	Buccal mucosa	HMP
Hard.palate__764366428	Hard palate	764366428	Hard palate	HMP
Saliva__764366428	Saliva	764366428	Saliva	HMP
Stool__764366428	Stool	764366428	Stool	HMP
Subgingival.plaque__764366428	Subgingival plaque	764366428	Subgingival plaque	HMP
Supragingival.plaque__764366428	Supragingival plaque	764366428	Supragingival plaque	HMP
Tongue.dorsum__764366428	Tongue dorsum	764366428	Tongue dorsum	HMP
Buccal.mucosa__764447348	Buccal mucosa	764447348	Buccal mucosa	HMP
Hard.palate__764447348	Hard palate	764447348	Hard palate	HMP
Saliva__764447348	Saliva	764447348	Saliva	HMP
Stool__764447348	Stool	764447348	Stool	HMP
Subgingival.plaque__764447348	Subgingival plaque	764447348	Subgingival plaque	HMP
Supragingival.plaque__764447348	Supragingival plaque	764447348	Supragingival plaque	HMP
Tongue.dorsum__764447348	Tongue dorsum	764447348	Tongue dorsum	HMP
Buccal.mucosa__764467579	Buccal mucosa	764467579	Buccal mucosa	HMP
Hard.palate__764467579	Hard palate	764467579	Hard palate	HMP
Saliva__764467579	Saliva	764467579	Saliva	HMP
Stool__764467579	Stool	764467579	Stool	HMP
Subgingival.plaque__764467579	Subgingival plaque	764467579	Subgingival plaque	HMP
Supragingival.plaque__764467579	Supragingival plaque	764467579	Supragingival plaque	HMP
Tongue.dorsum__764467579	Tongue dorsum	764467579	Tongue dorsum	HMP
Buccal.mucosa__764487809	Buccal mucosa	764487809	Buccal mucosa	HMP
Hard.palate__764487809	Hard palate	764487809	Hard palate	HMP
Saliva__764487809	Saliva	764487809	Saliva	HMP
Stool__764487809	Stool	764487809	Stool	HMP
Subgingival.plaque__764487809	Subgingival plaque	764487809	Subgingival plaque	HMP
Supragingival.plaque__764487809	Supragingival plaque	764487809	Supragingival plaque	HMP
Tongue.dorsum__764487809	Tongue dorsum	764487809	Tongue dorsum	HMP
Buccal.mucosa__764508039	Buccal mucosa	764508039	Buccal mucosa	HMP
Hard.palate__764508039	Hard palate	764508039	Hard palate	HMP
Saliva__764508039	Saliva	764508039	Saliva	HMP
Stool__764508039	Stool	764508039	Stool	HMP
Subgingival.plaque__764508039	Subgingival plaque	764508039	Subgingival plaque	HMP
Supragingival.plaque__764508039	Supragingival plaque	764508039	Supragingival plaque	HMP
Tongue.dorsum__764508039	Tongue dorsum	764508039	Tongue dorsum	HMP
Buccal.mucosa__764588959	Buccal mucosa	764588959	Buccal mucosa	HMP
Hard.palate__764588959	Hard palate	764588959	Hard palate	HMP
Saliva__764588959	Saliva	764588959	Saliva	HMP
Stool__764588959	Stool	764588959	Stool	HMP
Subgingival.plaque__764588959	Subgingival plaque	764588959	Subgingival plaque	HMP
Supragingival.plaque__764588959	Supragingival plaque	764588959	Supragingival plaque	HMP
Tongue.dorsum__764588959	Tongue dorsum	764588959	Tongue dorsum	HMP
Buccal.mucosa__764649650	Buccal mucosa	764649650	Buccal mucosa	HMP
Hard.palate__764649650	Hard palate	764649650	Hard palate	HMP
Saliva__764649650	Saliva	764649650	Saliva	HMP
Stool__764649650	Stool	764649650	Stool	HMP
Subgingival.plaque__764649650	Subgingival plaque	764649650	Subgingival plaque	HMP
Supragingival.plaque__764649650	Supragingival plaque	764649650	Supragingival plaque	HMP
Tongue.dorsum__764649650	Tongue dorsum	764649650	Tongue dorsum	HMP
Buccal.mucosa__764669880	Buccal mucosa	764669880	Buccal mucosa	HMP
Hard.palate__764669880	Hard palate	764669880	Hard palate	HMP
Saliva__764669880	Saliva	764669880	Saliva	HMP
Stool__764669880	Stool	764669880	Stool	HMP
Subgingival.plaque__764669880	Subgingival plaque	764669880	Subgingival plaque	HMP
Supragingival.plaque__764669880	Supragingival plaque	764669880	Supragingival plaque	HMP
Tongue.dorsum__764669880	Tongue dorsum	764669880	Tongue dorsum	HMP
Stool__764710340	Stool	764710340	Stool	HMP
Buccal.mucosa__764750800	Buccal mucosa	764750800	Buccal mucosa	HMP
Hard.palate__764750800	Hard palate	764750800	Hard palate	HMP
Stool__764750800	Stool	764750800	Stool	HMP
Subgingival.plaque__764750800	Subgingival plaque	764750800	Subgingival plaque	HMP
Supragingival.plaque__764750800	Supragingival plaque	764750800	Supragingival plaque	HMP
Tongue.dorsum__764750800	Tongue dorsum	764750800	Tongue dorsum	HMP
Buccal.mucosa__764811490	Buccal mucosa	764811490	Buccal mucosa	HMP
Hard.palate__764811490	Hard palate	764811490	Hard palate	HMP
Stool__764811490	Stool	764811490	Stool	HMP
Subgingival.plaque__764811490	Subgingival plaque	764811490	Subgingival plaque	HMP
Supragingival.plaque__764811490	Supragingival plaque	764811490	Supragingival plaque	HMP
Tongue.dorsum__764811490	Tongue dorsum	764811490	Tongue dorsum	HMP
Buccal.mucosa__764831721	Buccal mucosa	764831721	Buccal mucosa	HMP
Hard.palate__764831721	Hard palate	764831721	Hard palate	HMP
Saliva__764831721	Saliva	764831721	Saliva	HMP
Stool__764831721	Stool	764831721	Stool	HMP
Subgingival.plaque__764831721	Subgingival plaque	764831721	Subgingival plaque	HMP
Supragingival.plaque__764831721	Supragingival plaque	764831721	Supragingival plaque	HMP
Tongue.dorsum__764831721	Tongue dorsum	764831721	Tongue dorsum	HMP
Buccal.mucosa__764872181	Buccal mucosa	764872181	Buccal mucosa	HMP
Hard.palate__764872181	Hard palate	764872181	Hard palate	HMP
Stool__764872181	Stool	764872181	Stool	HMP
Subgingival.plaque__764872181	Subgingival plaque	764872181	Subgingival plaque	HMP
Supragingival.plaque__764872181	Supragingival plaque	764872181	Supragingival plaque	HMP
Tongue.dorsum__764872181	Tongue dorsum	764872181	Tongue dorsum	HMP
Buccal.mucosa__764892411	Buccal mucosa	764892411	Buccal mucosa	HMP
Hard.palate__764892411	Hard palate	764892411	Hard palate	HMP
Saliva__764892411	Saliva	764892411	Saliva	HMP
Stool__764892411	Stool	764892411	Stool	HMP
Subgingival.plaque__764892411	Subgingival plaque	764892411	Subgingival plaque	HMP
Supragingival.plaque__764892411	Supragingival plaque	764892411	Supragingival plaque	HMP
Tongue.dorsum__764892411	Tongue dorsum	764892411	Tongue dorsum	HMP
Buccal.mucosa__764953101	Buccal mucosa	764953101	Buccal mucosa	HMP
Hard.palate__764953101	Hard palate	764953101	Hard palate	HMP
Saliva__764953101	Saliva	764953101	Saliva	HMP
Stool__764953101	Stool	764953101	Stool	HMP
Subgingival.plaque__764953101	Subgingival plaque	764953101	Subgingival plaque	HMP
Supragingival.plaque__764953101	Supragingival plaque	764953101	Supragingival plaque	HMP
Tongue.dorsum__764953101	Tongue dorsum	764953101	Tongue dorsum	HMP
Buccal.mucosa__765013792	Buccal mucosa	765013792	Buccal mucosa	HMP
Hard.palate__765013792	Hard palate	765013792	Hard palate	HMP
Saliva__765013792	Saliva	765013792	Saliva	HMP
Stool__765013792	Stool	765013792	Stool	HMP
Subgingival.plaque__765013792	Subgingival plaque	765013792	Subgingival plaque	HMP
Supragingival.plaque__765013792	Supragingival plaque	765013792	Supragingival plaque	HMP
Tongue.dorsum__765013792	Tongue dorsum	765013792	Tongue dorsum	HMP
Buccal.mucosa__765034022	Buccal mucosa	765034022	Buccal mucosa	HMP
Hard.palate__765034022	Hard palate	765034022	Hard palate	HMP
Saliva__765034022	Saliva	765034022	Saliva	HMP
Stool__765034022	Stool	765034022	Stool	HMP
Subgingival.plaque__765034022	Subgingival plaque	765034022	Subgingival plaque	HMP
Supragingival.plaque__765034022	Supragingival plaque	765034022	Supragingival plaque	HMP
Tongue.dorsum__765034022	Tongue dorsum	765034022	Tongue dorsum	HMP
Buccal.mucosa__765074482	Buccal mucosa	765074482	Buccal mucosa	HMP
Hard.palate__765074482	Hard palate	765074482	Hard palate	HMP
Saliva__765074482	Saliva	765074482	Saliva	HMP
Stool__765074482	Stool	765074482	Stool	HMP
Subgingival.plaque__765074482	Subgingival plaque	765074482	Subgingival plaque	HMP
Supragingival.plaque__765074482	Supragingival plaque	765074482	Supragingival plaque	HMP
Tongue.dorsum__765074482	Tongue dorsum	765074482	Tongue dorsum	HMP
Buccal.mucosa__765094712	Buccal mucosa	765094712	Buccal mucosa	HMP
Hard.palate__765094712	Hard palate	765094712	Hard palate	HMP
Saliva__765094712	Saliva	765094712	Saliva	HMP
Stool__765094712	Stool	765094712	Stool	HMP
Subgingival.plaque__765094712	Subgingival plaque	765094712	Subgingival plaque	HMP
Supragingival.plaque__765094712	Supragingival plaque	765094712	Supragingival plaque	HMP
Tongue.dorsum__765094712	Tongue dorsum	765094712	Tongue dorsum	HMP
Buccal.mucosa__765135172	Buccal mucosa	765135172	Buccal mucosa	HMP
Hard.palate__765135172	Hard palate	765135172	Hard palate	HMP
Saliva__765135172	Saliva	765135172	Saliva	HMP
Stool__765135172	Stool	765135172	Stool	HMP
Subgingival.plaque__765135172	Subgingival plaque	765135172	Subgingival plaque	HMP
Supragingival.plaque__765135172	Supragingival plaque	765135172	Supragingival plaque	HMP
Tongue.dorsum__765135172	Tongue dorsum	765135172	Tongue dorsum	HMP
Buccal.mucosa__765155402	Buccal mucosa	765155402	Buccal mucosa	HMP
Hard.palate__765155402	Hard palate	765155402	Hard palate	HMP
Saliva__765155402	Saliva	765155402	Saliva	HMP
Stool__765155402	Stool	765155402	Stool	HMP
Subgingival.plaque__765155402	Subgingival plaque	765155402	Subgingival plaque	HMP
Supragingival.plaque__765155402	Supragingival plaque	765155402	Supragingival plaque	HMP
Tongue.dorsum__765155402	Tongue dorsum	765155402	Tongue dorsum	HMP
Buccal.mucosa__765195863	Buccal mucosa	765195863	Buccal mucosa	HMP
Hard.palate__765195863	Hard palate	765195863	Hard palate	HMP
Saliva__765195863	Saliva	765195863	Saliva	HMP
Stool__765195863	Stool	765195863	Stool	HMP
Subgingival.plaque__765195863	Subgingival plaque	765195863	Subgingival plaque	HMP
Supragingival.plaque__765195863	Supragingival plaque	765195863	Supragingival plaque	HMP
Tongue.dorsum__765195863	Tongue dorsum	765195863	Tongue dorsum	HMP
Buccal.mucosa__765216093	Buccal mucosa	765216093	Buccal mucosa	HMP
Hard.palate__765216093	Hard palate	765216093	Hard palate	HMP
Saliva__765216093	Saliva	765216093	Saliva	HMP
Stool__765216093	Stool	765216093	Stool	HMP
Subgingival.plaque__765216093	Subgingival plaque	765216093	Subgingival plaque	HMP
Supragingival.plaque__765216093	Supragingival plaque	765216093	Supragingival plaque	HMP
Tongue.dorsum__765216093	Tongue dorsum	765216093	Tongue dorsum	HMP
Buccal.mucosa__765256553	Buccal mucosa	765256553	Buccal mucosa	HMP
Hard.palate__765256553	Hard palate	765256553	Hard palate	HMP
Saliva__765256553	Saliva	765256553	Saliva	HMP
Stool__765256553	Stool	765256553	Stool	HMP
Supragingival.plaque__765256553	Supragingival plaque	765256553	Supragingival plaque	HMP
Tongue.dorsum__765256553	Tongue dorsum	765256553	Tongue dorsum	HMP
Buccal.mucosa__765276783	Buccal mucosa	765276783	Buccal mucosa	HMP
Hard.palate__765276783	Hard palate	765276783	Hard palate	HMP
Saliva__765276783	Saliva	765276783	Saliva	HMP
Stool__765276783	Stool	765276783	Stool	HMP
Subgingival.plaque__765276783	Subgingival plaque	765276783	Subgingival plaque	HMP
Supragingival.plaque__765276783	Supragingival plaque	765276783	Supragingival plaque	HMP
Tongue.dorsum__765276783	Tongue dorsum	765276783	Tongue dorsum	HMP
Buccal.mucosa__765317243	Buccal mucosa	765317243	Buccal mucosa	HMP
Hard.palate__765317243	Hard palate	765317243	Hard palate	HMP
Stool__765317243	Stool	765317243	Stool	HMP
Subgingival.plaque__765317243	Subgingival plaque	765317243	Subgingival plaque	HMP
Supragingival.plaque__765317243	Supragingival plaque	765317243	Supragingival plaque	HMP
Tongue.dorsum__765317243	Tongue dorsum	765317243	Tongue dorsum	HMP
Buccal.mucosa__765337473	Buccal mucosa	765337473	Buccal mucosa	HMP
Hard.palate__765337473	Hard palate	765337473	Hard palate	HMP
Saliva__765337473	Saliva	765337473	Saliva	HMP
Stool__765337473	Stool	765337473	Stool	HMP
Subgingival.plaque__765337473	Subgingival plaque	765337473	Subgingival plaque	HMP
Supragingival.plaque__765337473	Supragingival plaque	765337473	Supragingival plaque	HMP
Tongue.dorsum__765337473	Tongue dorsum	765337473	Tongue dorsum	HMP
Buccal.mucosa__765377934	Buccal mucosa	765377934	Buccal mucosa	HMP
Hard.palate__765377934	Hard palate	765377934	Hard palate	HMP
Saliva__765377934	Saliva	765377934	Saliva	HMP
Tongue.dorsum__765377934	Tongue dorsum	765377934	Tongue dorsum	HMP
Buccal.mucosa__765560005	Buccal mucosa	765560005	Buccal mucosa	HMP
Hard.palate__765560005	Hard palate	765560005	Hard palate	HMP
Subgingival.plaque__765560005	Subgingival plaque	765560005	Subgingival plaque	HMP
Supragingival.plaque__765560005	Supragingival plaque	765560005	Supragingival plaque	HMP
Tongue.dorsum__765560005	Tongue dorsum	765560005	Tongue dorsum	HMP
Stool__765661155	Stool	765661155	Stool	HMP
Buccal.mucosa__765701615	Buccal mucosa	765701615	Buccal mucosa	HMP
Hard.palate__765701615	Hard palate	765701615	Hard palate	HMP
Saliva__765701615	Saliva	765701615	Saliva	HMP
Stool__765701615	Stool	765701615	Stool	HMP
Subgingival.plaque__765701615	Subgingival plaque	765701615	Subgingival plaque	HMP
Supragingival.plaque__765701615	Supragingival plaque	765701615	Supragingival plaque	HMP
Tongue.dorsum__765701615	Tongue dorsum	765701615	Tongue dorsum	HMP
Buccal.mucosa__861967750	Buccal mucosa	861967750	Buccal mucosa	HMP
Hard.palate__861967750	Hard palate	861967750	Hard palate	HMP
Saliva__861967750	Saliva	861967750	Saliva	HMP
Stool__861967750	Stool	861967750	Stool	HMP
Subgingival.plaque__861967750	Subgingival plaque	861967750	Subgingival plaque	HMP
Supragingival.plaque__861967750	Supragingival plaque	861967750	Supragingival plaque	HMP
Tongue.dorsum__861967750	Tongue dorsum	861967750	Tongue dorsum	HMP
Buccal.mucosa__863126187	Buccal mucosa	863126187	Buccal mucosa	HMP
Hard.palate__863126187	Hard palate	863126187	Hard palate	HMP
Subgingival.plaque__863126187	Subgingival plaque	863126187	Subgingival plaque	HMP
Buccal.mucosa__866653606	Buccal mucosa	866653606	Buccal mucosa	HMP
Hard.palate__866653606	Hard palate	866653606	Hard palate	HMP
Saliva__866653606	Saliva	866653606	Saliva	HMP
Stool__866653606	Stool	866653606	Stool	HMP
Subgingival.plaque__866653606	Subgingival plaque	866653606	Subgingival plaque	HMP
Supragingival.plaque__866653606	Supragingival plaque	866653606	Supragingival plaque	HMP
Tongue.dorsum__866653606	Tongue dorsum	866653606	Tongue dorsum	HMP
Buccal.mucosa__872848689	Buccal mucosa	872848689	Buccal mucosa	HMP
Hard.palate__872848689	Hard palate	872848689	Hard palate	HMP
Saliva__872848689	Saliva	872848689	Saliva	HMP
Stool__872848689	Stool	872848689	Stool	HMP
Subgingival.plaque__872848689	Subgingival plaque	872848689	Subgingival plaque	HMP
Supragingival.plaque__872848689	Supragingival plaque	872848689	Supragingival plaque	HMP
Tongue.dorsum__872848689	Tongue dorsum	872848689	Tongue dorsum	HMP
Stool__901775393	Stool	901775393	Stool	HMP
Buccal.mucosa__953045535	Buccal mucosa	953045535	Buccal mucosa	HMP
Subgingival.plaque__953045535	Subgingival plaque	953045535	Subgingival plaque	HMP
Supragingival.plaque__953045535	Supragingival plaque	953045535	Supragingival plaque	HMP
Tongue.dorsum__953045535	Tongue dorsum	953045535	Tongue dorsum	HMP
